HomeAutomation BZ,160.40,15,0.08,Technology
RenewableEnergyInvestments CA,220.75,38,0.12,Energy
PersonalFinance CB,150.60,10,0.05,Finance
InsuranceProducts CC,110.40,-3,0.04,Finance
SubscriptionServices CD,130.70,18,0.07,Consumer Goods
UrbanRenewal CE,170.00,15,0.07,Infrastructure
EthicalInvestments CF,150.25,-5,0.10,Investment Fund
FoodWasteManagement CG,120.40,5,0.03,Environment
PetCareServices CH,180.60,12,0.05,Consumer Goods
DigitalMarketing CI,130.70,22,0.06,Marketing
WearableFitness CJ,210.50,20,0.08,Technology
BlockchainConsulting CK,240.00,35,0.12,Consulting
CleanAirInitiative CL,190.20,18,0.04,Environment
SmartWaterManagement CM,155.50,10,0.03,Utilities
InnovativeTransport CN,200.15,25,0.10,Transportation
GroceryDelivery CO,145.80,8,0.05,Logistics
CyberRiskManagement CP,180.90,30,0.15,Technology
VerticalFarming CQ,170.40,20,0.11,Agriculture
MentalHealthTech CR,155.25,15,0.02,Healthcare
SpaceTourism CS,250.80,45,0.25,Aerospace
PublicHealthInitiatives CT,140.60,10,0.03,Healthcare
NextGenBatteries CU,220.90,30,0.15,Energy
UrbanMobility CV,200.00,20,0.09,Transportation
Aquaculture CW,175.00,12,0.06,Agriculture
ABC,100,-9,0.7,ABC
ABC,90,8,0.4,ABC
